GeneID,GeneName,Log2FC_Y_VS_N
ENSG00000157637,SLC38A10,0.032293289
ENSG00000244642,RN7SL396P,0.032283109
ENSG00000126264,HCST,0.03228158
ENSG00000103150,MLYCD,0.032270409
ENSG00000146955,RAB19,0.032265526
ENSG00000260111,AC012184.1,0.032244647
ENSG00000187147,RNF220,0.032227242
ENSG00000108469,RECQL5,0.032227217
ENSG00000140511,HAPLN3,0.03222387
ENSG00000221983,UBA52,0.032222899
ENSG00000290318,,0.032222045
ENSG00000175040,CHST2,0.032219761
ENSG00000186918,ZNF395,0.03221727
ENSG00000185345,PRKN,0.032216482
ENSG00000066044,ELAVL1,0.032214377
ENSG00000217527,RPS16P5,0.032207747
ENSG00000234208,AC005529.1,0.032194216
ENSG00000259277,AC127522.1,0.032193844
ENSG00000115641,FHL2,0.032186198
ENSG00000162129,CLPB,0.032183224
ENSG00000197562,RAB40C,0.032181922
ENSG00000131067,GGT7,0.032174543
ENSG00000114529,C3orf52,0.032168202
ENSG00000179886,TIGD5,0.032148348
ENSG00000213889,PPM1N,0.032146691
ENSG00000262001,DLGAP1-AS2,0.03213313
ENSG00000141979,AC008764.1,0.032130582
ENSG00000157353,FCSK,0.032122693
ENSG00000177951,BET1L,0.03212117
ENSG00000230163,AL122010.1,0.032096914
ENSG00000105939,ZC3HAV1,0.032092783
ENSG00000148334,PTGES2,0.032084011
ENSG00000100036,SLC35E4,0.032079928
ENSG00000162931,TRIM17,0.032069795
ENSG00000267127,AC090360.1,0.032061013
ENSG00000235408,SNORA71B,0.032060792
ENSG00000157895,C12orf43,0.032059188
ENSG00000279059,AC007485.2,0.032049853
ENSG00000161671,EMC10,0.032049075
ENSG00000199785,SNORA52,0.032048593
ENSG00000105227,PRX,0.032045576
ENSG00000115112,TFCP2L1,0.032036838
ENSG00000248487,ABHD14A,0.032033357
ENSG00000111275,ALDH2,0.032023421
ENSG00000146828,SLC12A9,0.032023063
ENSG00000171766,GATM,0.032016996
ENSG00000254509,AP000866.3,0.032005393
ENSG00000186162,CIDECP1,0.031989893
ENSG00000107223,EDF1,0.031974134
ENSG00000109771,LRP2BP,0.031969927
ENSG00000147400,CETN2,0.031963819
ENSG00000204257,HLA-DMA,0.031962176
ENSG00000110435,PDHX,0.031961897
ENSG00000184470,TXNRD2,0.031960802
ENSG00000090097,PCBP4,0.031954074
ENSG00000182325,FBXL6,0.031915672
ENSG00000138623,SEMA7A,0.031911742
ENSG00000124587,PEX6,0.0319027
ENSG00000287591,AL360169.3,0.031900638
ENSG00000166171,DPCD,0.031896354
ENSG00000117481,NSUN4,0.031887254
ENSG00000135253,KCP,0.031887232
ENSG00000166140,ZFYVE19,0.031886163
ENSG00000267670,AC022098.2,0.031880841
ENSG00000254221,PCDHGB1,0.031880397
ENSG00000269910,AL049840.3,0.031874959
ENSG00000289037,,0.031862829
ENSG00000162526,TSSK3,0.031862378
ENSG00000254274,TDGF1P5,0.031861264
ENSG00000289393,,0.031848452
ENSG00000172375,C2CD2L,0.031846209
ENSG00000087088,BAX,0.031836596
ENSG00000241511,RPS15AP24,0.031830834
ENSG00000235333,PVRIG2P,0.031821208
ENSG00000270184,AC018695.4,0.031812352
ENSG00000162543,UBXN10,0.031800783
ENSG00000168096,ANKS3,0.031795804
ENSG00000126822,PLEKHG3,0.031787509
ENSG00000288871,,0.031780809
ENSG00000140577,CRTC3,0.031780665
ENSG00000134955,SLC37A2,0.031778949
ENSG00000140678,ITGAX,0.031773068
ENSG00000255847,AP003717.1,0.031772668
ENSG00000263300,AC015853.3,0.031768149
ENSG00000130714,POMT1,0.031756971
ENSG00000115935,WIPF1,0.031732778
ENSG00000273272,U62317.3,0.031726751
ENSG00000267694,AP005131.5,0.03172527
ENSG00000178467,P4HTM,0.031719591
ENSG00000254373,AC112191.2,0.031717331
ENSG00000278330,AC018529.2,0.031711745
ENSG00000285816,AP000944.5,0.03170831
ENSG00000124224,PPP4R1L,0.031702603
ENSG00000126709,IFI6,0.031700052
ENSG00000146707,POMZP3,0.031696645
ENSG00000206417,H1-10-AS1,0.031695872
ENSG00000139200,PIANP,0.031685685
ENSG00000250251,PKD1P6,0.031683362
ENSG00000055208,TAB2,0.031678002
ENSG00000159314,ARHGAP27,0.031670011
ENSG00000179833,SERTAD2,0.031667456
ENSG00000135148,TRAFD1,0.031664037
ENSG00000056558,TRAF1,0.031644806
ENSG00000238109,RNF14P3,0.031642644
ENSG00000239523,MYLK-AS1,0.03163197
ENSG00000233622,CYP2T1P,0.031612424
ENSG00000285589,AC010422.8,0.031596397
ENSG00000138336,TET1,0.031587887
ENSG00000160325,CACFD1,0.031585655
ENSG00000164818,DNAAF5,0.0315839
ENSG00000133250,ZNF414,0.031563098
ENSG00000158941,CCAR2,0.031560482
ENSG00000202415,RN7SKP269,0.031548368
ENSG00000168310,IRF2,0.031546788
ENSG00000185033,SEMA4B,0.031535363
ENSG00000148843,PDCD11,0.031526526
ENSG00000114126,TFDP2,0.031523628
ENSG00000172530,BANP,0.03152211
ENSG00000110711,AIP,0.031507358
ENSG00000205413,SAMD9,0.031501831
ENSG00000152078,TLCD4,0.03149464
ENSG00000159111,MRPL10,0.031492133
ENSG00000103187,COTL1,0.03149211
ENSG00000236263,AC234582.1,0.031479871
ENSG00000261641,AL031600.3,0.031474803
ENSG00000270617,URGCP-MRPS24,0.031470661
ENSG00000136379,ABHD17C,0.031469223
ENSG00000266997,AC090227.2,0.031468221
ENSG00000100350,FOXRED2,0.031467132
ENSG00000286316,Z93020.1,0.031466547
ENSG00000244588,RAD21L1,0.03146616
ENSG00000128191,DGCR8,0.031455709
ENSG00000279985,AC008498.2,0.031434178
ENSG00000106537,TSPAN13,0.031428427
ENSG00000182087,TMEM259,0.031424419
ENSG00000167315,ACAA2,0.031422788
ENSG00000187741,FANCA,0.031421269
ENSG00000281358,RASSF1-AS1,0.031404563
ENSG00000168005,SPINDOC,0.031401376
ENSG00000046653,GPM6B,0.031398084
ENSG00000139182,CLSTN3,0.031388124
ENSG00000100906,NFKBIA,0.031386212
ENSG00000112118,MCM3,0.03137269
ENSG00000262633,AC005670.2,0.031366779
ENSG00000287002,AL589644.1,0.031350662
ENSG00000235088,AL031667.2,0.031342519
ENSG00000064601,CTSA,0.03133974
ENSG00000275178,AC018529.1,0.031337986
ENSG00000120158,RCL1,0.031327949
ENSG00000141968,VAV1,0.031320765
ENSG00000289626,,0.03131722
ENSG00000151079,KCNA6,0.031309038
ENSG00000230482,ATP5MC2P3,0.031301847
ENSG00000101213,PTK6,0.031289185
ENSG00000279122,AC020763.2,0.031288122
ENSG00000289419,,0.03128452
ENSG00000162888,C1orf147,0.031279093
ENSG00000149782,PLCB3,0.031269782
ENSG00000122490,SLC66A2,0.031268023
ENSG00000260236,AC099778.1,0.031267523
ENSG00000170085,SIMC1,0.031264682
ENSG00000273102,AP000569.1,0.031249674
ENSG00000272296,SNORD96A,0.031248867
ENSG00000006534,ALDH3B1,0.031247793
ENSG00000276699,TRAJ36,0.031241532
ENSG00000163125,RPRD2,0.031213174
ENSG00000177542,SLC25A22,0.031212829
ENSG00000273899,NOL12,0.031212693
ENSG00000117419,ERI3,0.031208957
ENSG00000265666,RARA-AS1,0.031208051
ENSG00000204923,FBXO48,0.031206438
ENSG00000198053,SIRPA,0.031204862
ENSG00000122390,NAA60,0.031202765
ENSG00000100263,RHBDD3,0.031197172
ENSG00000232334,AL683842.1,0.031193312
ENSG00000100196,KDELR3,0.03117278
ENSG00000204351,SKIV2L,0.031160096
ENSG00000171169,NAIF1,0.031159856
ENSG00000272442,AL353588.1,0.031154517
ENSG00000074842,MYDGF,0.031152227
ENSG00000273151,AC073957.3,0.031148486
ENSG00000251332,PSME2P4,0.031143513
ENSG00000196670,ZFP62,0.031139288
ENSG00000211816,TRAV38-1,0.031134782
ENSG00000278829,AC099811.5,0.031131348
ENSG00000177963,RIC8A,0.031130329
ENSG00000123144,TRIR,0.031121975
ENSG00000263126,AC040162.3,0.031114929
ENSG00000167977,KCTD5,0.031111751
ENSG00000196735,HLA-DQA1,0.031086082
ENSG00000228292,AL512604.1,0.031081011
ENSG00000280247,AC005578.1,0.031074437
ENSG00000139173,TMEM117,0.031070382
ENSG00000160007,ARHGAP35,0.031063768
ENSG00000161956,SENP3,0.031061908
ENSG00000136630,HLX,0.031061153
ENSG00000276603,AL109614.1,0.031056463
ENSG00000143158,MPC2,0.031055081
ENSG00000005379,TSPOAP1,0.031053164
ENSG00000100711,ZFYVE21,0.031051316
ENSG00000272933,AL391121.1,0.031041035
ENSG00000109332,UBE2D3,0.031031101
ENSG00000213213,CCDC183,0.031027714
ENSG00000237945,LINC00649,0.031002062
ENSG00000188996,HUS1B,0.030998578
ENSG00000110324,IL10RA,0.030998002
ENSG00000258405,ZNF578,0.030992856
ENSG00000160208,RRP1B,0.030987192
ENSG00000130377,ACSBG2,0.030976811
ENSG00000151148,UBE3B,0.030969171
ENSG00000289946,,0.030968531
ENSG00000258730,ITPK1-AS1,0.030960428
ENSG00000167107,ACSF2,0.030959009
ENSG00000115568,ZNF142,0.030951094
ENSG00000108576,SLC6A4,0.030950104
ENSG00000262660,AC139530.2,0.030950006
ENSG00000186532,SMYD4,0.030947672
ENSG00000288803,,0.030946986
ENSG00000163399,ATP1A1,0.030945791
ENSG00000281991,TMEM265,0.030942785
ENSG00000179134,SAMD4B,0.030939918
ENSG00000242259,C22orf39,0.030939379
ENSG00000229809,ZNF688,0.030937948
ENSG00000114544,SLC41A3,0.030921192
ENSG00000110074,FOXRED1,0.030902079
ENSG00000273802,H2BC8,0.030892556
ENSG00000135047,CTSL,0.030878867
ENSG00000199082,MIR342,0.030878679
ENSG00000251992,SCARNA17,0.030867857
ENSG00000102870,ZNF629,0.030856307
ENSG00000229487,ALG13-AS1,0.030847775
ENSG00000184451,CCR10,0.030843715
ENSG00000199643,RNU4-90P,0.030828604
ENSG00000141401,IMPA2,0.030816355
ENSG00000168010,ATG16L2,0.030802187
ENSG00000198455,ZXDB,0.030797838
ENSG00000257355,AC008770.1,0.030795793
ENSG00000261423,TMEM202-AS1,0.030793124
ENSG00000099800,TIMM13,0.030792794
ENSG00000120306,CYSTM1,0.030792665
ENSG00000159352,PSMD4,0.030789917
ENSG00000132128,LRRC41,0.030787042
ENSG00000264324,AC006030.1,0.030781391
ENSG00000160216,AGPAT3,0.030772962
ENSG00000101997,CCDC22,0.030768333
ENSG00000201785,SNORD117,0.030760436
ENSG00000187860,CCDC157,0.030757257
ENSG00000013523,ANGEL1,0.030755006
ENSG00000242588,AC108010.1,0.030753572
ENSG00000204231,RXRB,0.030735418
ENSG00000120942,UBIAD1,0.030724883
ENSG00000188997,KCTD21,0.030724693
ENSG00000226660,TRBV2,0.030723749
ENSG00000173678,SPDYE2B,0.030723215
ENSG00000135365,PHF21A,0.03071996
ENSG00000160218,TRAPPC10,0.030706555
ENSG00000272758,WDR5B-DT,0.030702829
ENSG00000090432,MUL1,0.030699466
ENSG00000104679,R3HCC1,0.03069904
ENSG00000147955,SIGMAR1,0.030687011
ENSG00000198832,SELENOM,0.030683374
ENSG00000159899,NPR2,0.03068131
ENSG00000264633,MIR4271,0.030673565
ENSG00000149380,P4HA3,0.030670972
ENSG00000204188,GGNBP1,0.030662083
ENSG00000235072,ARNILA,0.030660453
ENSG00000065320,NTN1,0.030659453
ENSG00000167118,URM1,0.030656037
ENSG00000286989,AL691432.4,0.030649245
ENSG00000187775,DNAH17,0.030645479
ENSG00000167074,TEF,0.030640404
ENSG00000169813,HNRNPF,0.030636068
ENSG00000132382,MYBBP1A,0.030632463
ENSG00000278784,AL136295.7,0.030628833
ENSG00000048140,TSPAN17,0.030628531
ENSG00000129351,ILF3,0.0306168
ENSG00000150907,FOXO1,0.03061557
ENSG00000258813,AL442663.3,0.030611521
ENSG00000065057,NTHL1,0.030603704
ENSG00000223692,DIP2A-IT1,0.030598893
ENSG00000162739,SLAMF6,0.030595353
ENSG00000274049,INO80B-WBP1,0.030592863
ENSG00000253767,PCDHGA8,0.030567918
ENSG00000140398,NEIL1,0.030559302
ENSG00000106609,TMEM248,0.030522706
ENSG00000284946,AC068831.6,0.030520904
ENSG00000240474,RN7SL116P,0.030519958
ENSG00000182809,CRIP2,0.030518519
ENSG00000276641,MIR6769A,0.030507902
ENSG00000114626,ABTB1,0.030507449
ENSG00000186222,BLOC1S4,0.030505773
ENSG00000109762,SNX25,0.030498989
ENSG00000221325,MIR1200,0.030485071
ENSG00000258924,AC002094.1,0.030474783
ENSG00000198855,FICD,0.030474432
ENSG00000279884,AC010894.4,0.030473025
ENSG00000137806,NDUFAF1,0.030471216
ENSG00000288880,,0.030467584
ENSG00000108829,LRRC59,0.030462019
ENSG00000112208,BAG2,0.030459107
ENSG00000124733,MEA1,0.030438884
ENSG00000267924,AC139769.2,0.030430328
ENSG00000251196,AC106760.1,0.030416745
ENSG00000124702,KLHDC3,0.030415923
ENSG00000267157,AC011499.1,0.030413029
ENSG00000132612,VPS4A,0.030403457
ENSG00000288699,AL353795.4,0.030391394
ENSG00000110713,NUP98,0.03037643
ENSG00000203865,ATP1A1-AS1,0.030375199
ENSG00000058799,YIPF1,0.030374961
ENSG00000245904,AC025164.1,0.030366555
ENSG00000141026,MED9,0.030366005
ENSG00000129933,MAU2,0.03036544
ENSG00000226659,AC021028.1,0.030362597
ENSG00000257913,DDN-AS1,0.030362218
ENSG00000137757,CASP5,0.030353761
ENSG00000244151,AC010973.2,0.030327022
ENSG00000185252,ZNF74,0.030326315
ENSG00000287263,AC008875.3,0.0303174
ENSG00000136986,DERL1,0.03031658
ENSG00000085265,FCN1,0.030297822
ENSG00000289030,,0.03028924
ENSG00000276045,ORAI1,0.030285672
ENSG00000136573,BLK,0.030285618
ENSG00000205584,AC211476.1,0.030281291
ENSG00000258199,AC073896.4,0.030268906
ENSG00000198734,F5,0.030261826
ENSG00000131748,STARD3,0.030255538
ENSG00000109066,TMEM104,0.030254247
ENSG00000106344,RBM28,0.030250497
ENSG00000269583,L34079.3,0.030247313
ENSG00000067225,PKM,0.030246483
ENSG00000235954,TTC28-AS1,0.030243745
ENSG00000111266,DUSP16,0.03024233
ENSG00000152767,FARP1,0.030242257
ENSG00000287727,AL139423.2,0.030231327
ENSG00000081177,EXD2,0.030226724
ENSG00000279162,AC141586.5,0.030226413
ENSG00000146409,SLC18B1,0.030211927
ENSG00000053702,NRIP2,0.030207805
ENSG00000114346,ECT2,0.030187543
ENSG00000135838,NPL,0.030187097
ENSG00000277728,AC097641.2,0.030181781
ENSG00000146215,CRIP3,0.030173731
ENSG00000126602,TRAP1,0.030172197
ENSG00000269032,AC016629.1,0.030164695
ENSG00000277324,AC093462.1,0.030160803
ENSG00000111752,PHC1,0.030156031
ENSG00000108370,RGS9,0.030153557
ENSG00000280408,AC032044.2,0.030150613
ENSG00000239697,TNFSF12,0.03014184
ENSG00000259429,UBE2Q2P2,0.030141811
ENSG00000289586,,0.030141399
ENSG00000204256,BRD2,0.030136984
ENSG00000228203,GRASLND,0.030134737
ENSG00000087258,GNAO1,0.030129504
ENSG00000230946,HNRNPA1P68,0.030123876
ENSG00000164241,C5orf63,0.030116268
ENSG00000236662,AL133215.1,0.030105142
ENSG00000163833,FBXO40,0.03010482
ENSG00000232354,VIPR1-AS1,0.030103254
ENSG00000276791,AC092117.1,0.030102572
ENSG00000204054,LINC00963,0.030098254
ENSG00000233547,AL158212.2,0.030092428
ENSG00000177706,FAM20C,0.030091311
ENSG00000090565,RAB11FIP3,0.030086733
ENSG00000233056,ERVH48-1,0.03005151
ENSG00000162889,MAPKAPK2,0.030046558
ENSG00000125485,DDX31,0.030041672
ENSG00000275070,Metazoa_SRP,0.030039573
ENSG00000011009,LYPLA2,0.030036085
ENSG00000285947,AC127029.3,0.030031779
ENSG00000228315,GUSBP11,0.030025258
ENSG00000100314,CABP7,0.030024557
ENSG00000169972,PUSL1,0.030019685
ENSG00000010626,LRRC23,0.030018523
ENSG00000157954,WIPI2,0.030013839
ENSG00000228838,AL355483.1,0.030002639
ENSG00000254402,LRRC24,0.02998332
ENSG00000140950,MEAK7,0.029982316
ENSG00000135643,KCNMB4,0.029952607
ENSG00000290602,,0.029945937
ENSG00000240303,ACAD11,0.02994137
ENSG00000052850,ALX4,0.029936068
ENSG00000204584,AC027801.1,0.029931083
ENSG00000166169,POLL,0.029928953
ENSG00000187688,TRPV2,0.029925915
ENSG00000259318,HMGN1P1,0.029911661
ENSG00000136213,CHST12,0.029900286
ENSG00000288208,AL451136.1,0.029892111
ENSG00000215067,ALOX12-AS1,0.029884367
ENSG00000206967,Y_RNA,0.02987374
ENSG00000227057,WDR46,0.029867328
ENSG00000185101,ANO9,0.029864933
ENSG00000183921,SDR42E2,0.029862739
ENSG00000265354,TIMM23,0.029857612
ENSG00000239306,RBM14,0.029844513
ENSG00000270487,AL355297.1,0.029840508
ENSG00000182107,TMEM30B,0.029832796
ENSG00000223916,AC097638.1,0.029832642
ENSG00000291136,,0.029829943
ENSG00000180867,PDIA3P1,0.029826495
ENSG00000242853,RN7SL749P,0.029826407
ENSG00000268530,AC008403.2,0.029816281
ENSG00000105639,JAK3,0.029814604
ENSG00000117010,ZNF684,0.029793358
ENSG00000070785,EIF2B3,0.029787982
ENSG00000232097,AC079781.3,0.02976763
ENSG00000271971,AC120053.1,0.029756132
ENSG00000248333,CDK11B,0.029752233
ENSG00000160190,SLC37A1,0.029727646
ENSG00000155926,SLA,0.029727108
ENSG00000261000,AC244034.2,0.029701043
ENSG00000245768,AC106793.1,0.029691868
ENSG00000221829,FANCG,0.029685977
ENSG00000005486,RHBDD2,0.029685852
ENSG00000169738,DCXR,0.029682963
ENSG00000140990,NDUFB10,0.029679534
ENSG00000091831,ESR1,0.029654818
ENSG00000204590,GNL1,0.02963955
ENSG00000289480,,0.029637893
ENSG00000102103,PQBP1,0.029635879
ENSG00000135632,SMYD5,0.02961974
ENSG00000255367,AC127526.2,0.02961934
ENSG00000171159,C9orf16,0.029618848
ENSG00000256742,KDM2B-DT,0.029614778
ENSG00000149182,ARFGAP2,0.029605699
ENSG00000272155,AC055822.1,0.029585174
ENSG00000112787,FBRSL1,0.029583126
ENSG00000139083,ETV6,0.029574058
ENSG00000163082,SGPP2,0.029573181
ENSG00000167604,NFKBID,0.029572795
ENSG00000103569,AQP9,0.029571182
ENSG00000224645,AL391069.1,0.029567433
ENSG00000120913,PDLIM2,0.029564239
ENSG00000268154,Metazoa_SRP,0.029552074
ENSG00000161939,RNASEK-C17orf49,0.029551508
ENSG00000106683,LIMK1,0.029542108
ENSG00000262967,AC005921.2,0.029539145
ENSG00000118298,CA14,0.029530793
ENSG00000135862,LAMC1,0.029519613
ENSG00000204592,HLA-E,0.029507318
ENSG00000131165,CHMP1A,0.02949803
ENSG00000108671,PSMD11,0.02947057
ENSG00000100109,TFIP11,0.029464315
ENSG00000092010,PSME1,0.029446951
ENSG00000279294,AC092135.1,0.02944494
ENSG00000291068,,0.029443155
ENSG00000159199,ATP5MC1,0.029440594
ENSG00000134278,SPIRE1,0.029429501
ENSG00000248415,GAPDHP61,0.029429443
ENSG00000127585,FBXL16,0.029397504
ENSG00000100181,TPTEP1,0.029394148
ENSG00000280143,AP000892.4,0.029381026
ENSG00000269940,AL049840.4,0.029380518
ENSG00000213759,UGT2B11,0.029354752
ENSG00000187922,LCN10,0.029351596
ENSG00000283900,TPTEP2-CSNK1E,0.029347383
ENSG00000137171,KLC4,0.029343259
ENSG00000140992,PDPK1,0.029333739
ENSG00000242797,GLYCTK-AS1,0.029329344
ENSG00000135540,NHSL1,0.029324883
ENSG00000270528,FAM133EP,0.029321182
ENSG00000107104,KANK1,0.029320407
ENSG00000124571,XPO5,0.029319469
ENSG00000260853,AC109460.2,0.029317781
ENSG00000268992,CDC42EP3P1,0.029314847
ENSG00000221946,FXYD7,0.029305885
ENSG00000286634,AC146507.3,0.029301574
ENSG00000234136,AC055764.1,0.029290144
ENSG00000236756,DNAJC9-AS1,0.029288446
ENSG00000163812,ZDHHC3,0.029283687
ENSG00000197879,MYO1C,0.029282991
ENSG00000065060,UHRF1BP1,0.029278671
ENSG00000101421,CHMP4B,0.029272282
ENSG00000130703,OSBPL2,0.029269836
ENSG00000155275,TRMT44,0.029267312
ENSG00000151498,ACAD8,0.02926262
ENSG00000171953,ATPAF2,0.029242568
ENSG00000108433,GOSR2,0.029217341
ENSG00000134802,SLC43A3,0.029216557
ENSG00000123268,ATF1,0.029201573
ENSG00000173786,CNP,0.029188573
ENSG00000142002,DPP9,0.029187676
ENSG00000261832,AC138894.1,0.029186618
ENSG00000248641,HMGA1P2,0.029163415
ENSG00000100330,MTMR3,0.029155981
ENSG00000261546,AC135782.3,0.029142971
ENSG00000135503,ACVR1B,0.029138684
ENSG00000287427,AL390236.1,0.029136769
ENSG00000136286,MYO1G,0.029133402
ENSG00000277481,PKD1L3,0.029132464
ENSG00000270804,AC010326.4,0.029130358
ENSG00000127334,DYRK2,0.029129234
ENSG00000285292,ABCF2-H2BE1,0.029128058
ENSG00000254827,SLC22A18AS,0.029126381
ENSG00000160392,C19orf47,0.029116315
ENSG00000271913,AL035530.2,0.029111092
ENSG00000271410,AC020728.1,0.029108848
ENSG00000115738,ID2,0.029105616
ENSG00000197063,MAFG,0.029104727
ENSG00000239203,AC093484.1,0.029103652
ENSG00000170653,ATF7,0.029096935
ENSG00000286808,AC092338.3,0.029095372
ENSG00000174238,PITPNA,0.029094888
ENSG00000290366,,0.029086558
ENSG00000133056,PIK3C2B,0.029085521
ENSG00000100926,TM9SF1,0.029077688
ENSG00000107021,TBC1D13,0.0290679
ENSG00000269938,AC068790.2,0.029055157
ENSG00000124102,PI3,0.029054406
ENSG00000177311,ZBTB38,0.029050696
ENSG00000284987,U52112.1,0.029048778
ENSG00000184860,SDR42E1,0.029043152
ENSG00000159348,CYB5R1,0.02903828
ENSG00000124104,SNX21,0.029032599
ENSG00000027075,PRKCH,0.029021237
ENSG00000167700,MFSD3,0.029017303
ENSG00000100813,ACIN1,0.029015611
ENSG00000232615,AC026412.2,0.029014204
ENSG00000198825,INPP5F,0.029007593
ENSG00000015676,NUDCD3,0.029006914
ENSG00000268475,AC011462.2,0.029003966
ENSG00000118707,TGIF2,0.029003436
ENSG00000175564,UCP3,0.028984638
ENSG00000133027,PEMT,0.028983336
ENSG00000011021,CLCN6,0.02897948
ENSG00000259209,AC004943.1,0.028957067
ENSG00000197249,SERPINA1,0.02895623
ENSG00000140829,DHX38,0.028942009
ENSG00000231799,PA2G4P6,0.028940662
ENSG00000252975,Y_RNA,0.028936492
ENSG00000267291,AC008649.1,0.028934223
ENSG00000105486,LIG1,0.028911234
ENSG00000160075,SSU72,0.028905546
ENSG00000211725,TRBV5-5,0.028904392
ENSG00000180357,ZNF609,0.028904193
ENSG00000250496,ABT1P1,0.028882904
ENSG00000238199,UBE2V2P3,0.028873454
ENSG00000251748,RNU4ATAC11P,0.028869866
ENSG00000204084,INPP5B,0.028861411
ENSG00000286970,AC010491.2,0.028846862
ENSG00000068654,POLR1A,0.028844278
ENSG00000235958,UBOX5-AS1,0.028841034
ENSG00000286940,MICB-DT,0.028831905
ENSG00000172404,DNAJB7,0.028823828
ENSG00000207751,AP000553.1,0.028822266
ENSG00000232774,AL355916.1,0.028821325
ENSG00000165837,ERICH6B,0.028820838
ENSG00000263528,IKBKE,0.028815085
ENSG00000184925,LCN12,0.028814385
ENSG00000240972,MIF,0.028800431
ENSG00000279766,AC067931.1,0.028795047
ENSG00000100811,YY1,0.028793695
ENSG00000141543,EIF4A3,0.028793226
ENSG00000149269,PAK1,0.028789074
ENSG00000286342,AC073210.3,0.028778295
ENSG00000188266,HYKK,0.028753396
ENSG00000042088,TDP1,0.028745905
ENSG00000259118,AL139022.1,0.028743094
ENSG00000250021,ARPIN-AP3S2,0.028735992
ENSG00000279700,AC131212.2,0.028732805
ENSG00000125910,S1PR4,0.0287251
ENSG00000137270,GCM1,0.028723884
ENSG00000260643,AC092718.2,0.028720318
ENSG00000146285,SCML4,0.028716716
ENSG00000159873,CCDC117,0.028710569
ENSG00000270711,AL162431.3,0.028702724
ENSG00000172671,ZFAND4,0.028701105
ENSG00000186265,BTLA,0.028698444
ENSG00000179051,RCC2,0.028682818
ENSG00000104660,LEPROTL1,0.02867192
ENSG00000147654,EBAG9,0.028668757
ENSG00000179943,FIZ1,0.028663039
ENSG00000163832,ELP6,0.028659295
ENSG00000125826,RBCK1,0.02864908
ENSG00000226180,AC010536.1,0.028635453
ENSG00000246090,AP002026.1,0.028635019
ENSG00000179091,CYC1,0.028634102
ENSG00000212864,RNF208,0.028633967
ENSG00000163463,KRTCAP2,0.028623445
ENSG00000256690,AP001160.1,0.028615881
ENSG00000242110,AMACR,0.0286068
ENSG00000260555,AC092681.2,0.028605942
ENSG00000285803,AL442003.1,0.028604918
ENSG00000165689,ENTR1,0.028598021
ENSG00000141568,FOXK2,0.028575532
ENSG00000065029,ZNF76,0.028574564
ENSG00000115241,PPM1G,0.02855545
ENSG00000148426,PROSER2,0.028533979
ENSG00000132386,SERPINF1,0.028529846
ENSG00000136710,CCDC115,0.028522143
ENSG00000197321,SVIL,0.028509281
ENSG00000198824,CHAMP1,0.028507183
ENSG00000241525,AC141424.1,0.028503831
ENSG00000112877,CEP72,0.0284982
ENSG00000286061,RCAN3AS,0.028496397
ENSG00000167323,STIM1,0.028496027
ENSG00000070495,JMJD6,0.028495667
ENSG00000110107,PRPF19,0.028474963
ENSG00000115657,ABCB6,0.028471803
ENSG00000264741,MIR4505,0.02847109
ENSG00000185963,BICD2,0.028470045
ENSG00000158796,DEDD,0.028459538
ENSG00000233077,LINC01271,0.028458221
ENSG00000165434,PGM2L1,0.028455086
ENSG00000070087,PFN2,0.02844977
ENSG00000135482,ZC3H10,0.028449229
ENSG00000171843,MLLT3,0.028432598
ENSG00000291209,,0.028430072
ENSG00000285081,AC004593.1,0.028423725
ENSG00000236675,MTX1P1,0.028416174
ENSG00000121753,ADGRB2,0.028402067
ENSG00000153786,ZDHHC7,0.028396359
ENSG00000157837,SPPL3,0.028392732
ENSG00000267534,S1PR2,0.028390931
ENSG00000231871,IPO9-AS1,0.02838195
ENSG00000184110,EIF3C,0.028380201
ENSG00000145247,OCIAD2,0.028378846
ENSG00000287265,AL365272.1,0.028375276
ENSG00000197385,ZNF860,0.028370216
ENSG00000167625,ZNF526,0.028365999
ENSG00000233144,AL512656.1,0.0283627
ENSG00000155666,KDM8,0.028356022
ENSG00000025800,KPNA6,0.028343966
ENSG00000183604,SMG1P5,0.02833057
ENSG00000186815,TPCN1,0.028329973
ENSG00000177596,AL355390.1,0.02832873
ENSG00000237356,AL365295.1,0.028317213
ENSG00000142765,SYTL1,0.028315748
ENSG00000163482,STK36,0.028312994
ENSG00000100804,PSMB5,0.028312615
ENSG00000282278,AC058822.1,0.02830318
ENSG00000183495,EP400,0.028301447
ENSG00000270100,AC012065.3,0.028299593
ENSG00000263715,LINC02210-CRHR1,0.028290623
ENSG00000171823,FBXL14,0.028288097
ENSG00000162572,SCNN1D,0.028284204
ENSG00000263884,AP000845.1,0.028279932
ENSG00000141527,CARD14,0.028269121
ENSG00000101052,IFT52,0.028249294
ENSG00000188242,PP7080,0.028245247
ENSG00000188130,MAPK12,0.028221737
ENSG00000197951,ZNF71,0.028218717
ENSG00000241280,AC106712.1,0.028217467
ENSG00000197620,EOLA1,0.028215016
ENSG00000278463,H2AC4,0.028213394
ENSG00000259236,GOLGA8VP,0.028211682
ENSG00000078808,SDF4,0.028210351
ENSG00000198198,SZT2,0.028207329
ENSG00000081853,PCDHGA2,0.028197558
ENSG00000261346,AC116348.3,0.028177015
ENSG00000279152,AC129492.6,0.028175487
ENSG00000142528,ZNF473,0.028172342
